ID;BUILDING TYPE;DEM (m);DSM (s);BUILDING HEIGHT (m);FOOTPRINT AREA (m2);FLOOR AREA (m2);;Floor height (m);3.6;m
64800.00;yes;2.52;8.17;5.65;257.44;403.96;;;;
64801.00;yes;2.52;10.86;8.33;268.74;622.13;;;;
64802.00;yes;3.24;12.00;8.76;304.09;740.22;;;;
64803.00;yes;1.75;9.10;7.35;338.65;691.02;;;;
64804.00;yes;2.53;10.00;7.47;33.16;68.85;;;;
64805.00;yes;3.84;8.83;4.99;191.75;265.97;;;;
64806.00;yes;2.53;11.00;8.47;317.24;746.67;;;;
64807.00;yes;4.26;12.20;7.94;959.39;2115.85;;;;
64808.00;yes;3.52;11.23;7.71;243.44;521.58;;;;
64809.00;yes;2.82;10.50;7.68;179.77;383.59;;;;
64810.00;yes;5.14;16.00;10.86;760.62;2295.27;;;;
64811.00;yes;2.66;10.38;7.72;100.33;215.25;;;;
64812.00;yes;2.04;9.56;7.52;289.83;605.56;;;;
64813.00;yes;3.25;12.42;9.17;1341.34;3415.75;;;;
64814.00;yes;4.13;11.08;6.95;338.62;653.94;;;;
64815.00;yes;1.02;11.87;10.84;3119.34;9396.91;;;;
64816.00;yes;2.48;10.47;7.99;293.06;650.13;;;;
64817.00;yes;3.02;10.68;7.66;1578.32;3358.09;;;;
64818.00;yes;2.25;9.89;7.65;259.56;551.38;;;;
64819.00;yes;3.33;10.00;6.67;351.99;651.95;;;;
64820.00;yes;2.49;9.40;6.91;439.18;842.78;;;;
64821.00;yes;3.76;11.28;7.53;205.46;429.51;;;;
64822.00;yes;2.45;8.92;6.47;254.80;458.09;;;;
64823.00;yes;2.48;12.00;9.52;322.19;851.94;;;;
64824.00;yes;1.83;7.91;6.08;355.51;600.45;;;;
64825.00;yes;2.50;10.00;7.50;271.33;565.55;;;;
64826.00;yes;3.42;9.39;5.97;346.54;575.05;;;;
64827.00;yes;2.87;9.13;6.27;176.69;307.56;;;;
64828.00;yes;2.53;10.48;7.96;201.69;445.75;;;;
64829.00;yes;2.64;10.00;7.36;178.62;365.38;;;;
64830.00;yes;1.88;8.00;6.12;174.77;297.13;;;;
64831.00;yes;3.44;11.95;8.51;301.62;712.67;;;;
64832.00;yes;3.09;12.30;9.21;207.75;531.55;;;;
64833.00;yes;2.53;11.22;8.69;185.39;447.74;;;;
64834.00;yes;4.07;12.10;8.03;3091.02;6894.58;;;;
64835.00;yes;1.68;10.23;8.56;162.36;385.98;;;;
64836.00;yes;0.85;9.12;8.27;296.56;681.63;;;;
64837.00;yes;5.87;8.44;2.58;307.55;220.02;;;;
64838.00;yes;3.23;9.49;6.26;244.23;424.81;;;;
64839.00;yes;2.94;14.00;11.05;276.67;849.37;;;;
64840.00;yes;2.49;12.42;9.93;276.97;764.01;;;;
64841.00;yes;4.07;14.46;10.38;271.59;783.26;;;;
64842.00;house;2.50;10.74;8.24;279.71;639.83;;;;
64843.00;yes;3.69;10.60;6.91;186.38;357.77;;;;
64844.00;yes;1.63;8.53;6.90;325.01;622.80;;;;
64845.00;yes;3.21;10.00;6.79;291.30;549.64;;;;
64846.00;yes;2.23;13.00;10.77;322.21;964.15;;;;
64847.00;yes;2.06;7.94;5.88;466.12;760.90;;;;
64848.00;yes;3.65;11.90;8.25;470.38;1077.80;;;;
64849.00;yes;2.55;10.62;8.07;186.85;419.02;;;;
64850.00;yes;6.22;10.52;4.30;590.28;705.26;;;;
64851.00;yes;2.83;10.45;7.61;334.62;707.48;;;;
64852.00;yes;2.18;10.83;8.65;1005.85;2416.25;;;;
64853.00;yes;2.09;12.46;10.37;177.24;510.62;;;;
64854.00;yes;2.94;9.00;6.07;394.39;664.71;;;;
64855.00;yes;1.37;8.00;6.63;291.23;536.58;;;;
64856.00;yes;3.93;13.00;9.07;228.17;574.66;;;;
64857.00;yes;6.25;8.01;1.76;676.38;330.06;;;;
64858.00;yes;1.94;10.00;8.06;965.28;2160.26;;;;
64859.00;yes;3.42;9.99;6.57;234.39;427.72;;;;
64860.00;yes;2.49;10.87;8.38;261.50;608.72;;;;
64861.00;yes;3.38;10.85;7.47;386.17;801.39;;;;
64862.00;yes;4.79;11.89;7.10;214.34;422.71;;;;
64863.00;yes;3.14;10.48;7.34;298.52;608.64;;;;
64864.00;yes;2.43;10.14;7.72;248.49;532.58;;;;
64865.00;yes;2.53;10.31;7.78;211.53;457.16;;;;
64866.00;yes;2.89;11.15;8.26;350.38;803.56;;;;
64867.00;yes;3.33;10.00;6.67;391.85;726.35;;;;
64868.00;yes;2.30;11.66;9.35;329.66;856.50;;;;
64869.00;yes;4.12;10.00;5.88;213.16;348.36;;;;
64870.00;yes;1.03;9.00;7.97;255.49;565.62;;;;
64871.00;yes;1.02;10.09;9.07;388.82;979.47;;;;
64872.00;yes;2.52;11.00;8.48;269.17;633.94;;;;
64873.00;yes;2.52;8.38;5.86;293.94;478.65;;;;
64874.00;yes;3.86;11.55;7.69;482.63;1031.08;;;;
64875.00;yes;2.73;10.18;7.45;240.51;498.05;;;;
64876.00;yes;4.21;11.60;7.39;198.62;407.81;;;;
64877.00;yes;2.63;11.91;9.28;300.50;774.27;;;;
64878.00;yes;3.44;11.98;8.53;355.12;841.72;;;;
64879.00;yes;2.56;14.00;11.44;935.60;2972.32;;;;
64880.00;yes;4.23;12.22;7.99;200.16;444.43;;;;
64881.00;yes;2.72;11.57;8.84;312.12;766.78;;;;
64882.00;yes;3.97;12.05;8.08;214.20;480.64;;;;
64883.00;yes;2.63;9.99;7.36;153.23;313.46;;;;
64884.00;yes;3.09;11.47;8.38;392.17;912.77;;;;
64885.00;yes;2.83;11.42;8.59;499.13;1191.47;;;;
64886.00;yes;1.93;11.39;9.46;382.98;1006.30;;;;
64887.00;yes;4.13;10.89;6.76;226.21;424.76;;;;
64888.00;yes;2.42;10.00;7.58;98.69;207.71;;;;
64889.00;yes;1.65;12.34;10.69;402.59;1195.72;;;;
64890.00;yes;2.72;9.70;6.98;389.78;755.84;;;;
64891.00;yes;1.64;9.59;7.95;298.25;658.62;;;;
64892.00;yes;1.21;7.82;6.61;225.37;414.01;;;;
64893.00;yes;2.53;10.48;7.95;215.20;475.34;;;;
64894.00;yes;4.13;11.06;6.93;376.51;724.64;;;;
64895.00;yes;3.06;13.00;9.94;298.42;824.22;;;;
64896.00;yes;2.53;11.02;8.49;237.21;559.54;;;;
64897.00;yes;2.56;10.00;7.44;269.37;556.69;;;;
64898.00;yes;3.43;9.76;6.34;249.35;438.85;;;;
64899.00;yes;4.65;15.02;10.37;1095.03;3154.94;;;;
64900.00;yes;4.95;17.21;12.26;273.25;930.70;;;;
64901.00;yes;1.84;13.65;11.81;277.62;910.43;;;;
64902.00;yes;2.59;11.93;9.34;317.79;824.82;;;;
64903.00;yes;4.10;9.78;5.69;267.68;422.84;;;;
64904.00;yes;2.53;12.00;9.47;273.72;720.07;;;;
64905.00;yes;4.23;9.25;5.02;251.30;350.24;;;;
64906.00;yes;1.12;9.38;8.26;352.37;808.18;;;;
64907.00;yes;2.51;10.93;8.42;374.50;875.66;;;;
64908.00;yes;2.80;10.10;7.31;190.92;387.49;;;;
64909.00;yes;2.98;12.17;9.19;532.73;1359.71;;;;
64910.00;yes;3.25;13.89;10.64;548.91;1622.89;;;;
64911.00;yes;2.72;10.00;7.28;234.66;474.48;;;;
64912.00;yes;2.53;10.22;7.69;230.96;493.57;;;;
64913.00;yes;2.53;10.93;8.40;153.33;357.83;;;;
64914.00;yes;4.20;9.98;5.78;260.64;418.49;;;;
64915.00;yes;2.49;12.43;9.94;192.14;530.30;;;;
64916.00;yes;2.80;10.00;7.20;265.19;530.74;;;;
64917.00;yes;2.63;11.65;9.02;327.21;819.63;;;;
64918.00;yes;2.51;10.96;8.45;223.07;523.82;;;;
64919.00;yes;3.12;14.46;11.33;881.91;2776.40;;;;
64920.00;yes;3.33;10.97;7.64;220.13;467.21;;;;
64921.00;yes;4.03;10.71;6.68;272.64;505.76;;;;
64922.00;yes;2.52;9.97;7.45;375.00;776.44;;;;
64923.00;yes;2.66;8.27;5.61;146.42;228.19;;;;
64924.00;yes;2.47;9.84;7.38;143.54;294.06;;;;
64925.00;yes;3.92;9.71;5.79;369.84;595.03;;;;
64926.00;yes;2.49;10.89;8.40;286.67;668.83;;;;
64927.00;yes;2.71;9.84;7.13;244.31;484.20;;;;
64928.00;yes;3.12;14.45;11.33;232.63;731.93;;;;
64929.00;yes;1.07;7.01;5.94;181.62;299.63;;;;
64930.00;yes;3.17;8.51;5.34;246.36;365.42;;;;
64931.00;yes;2.52;10.30;7.79;375.30;811.79;;;;
64932.00;yes;2.57;9.94;7.37;319.77;654.75;;;;
64933.00;yes;2.53;9.37;6.84;554.12;1053.23;;;;
64934.00;yes;3.20;10.00;6.80;176.22;332.85;;;;
64935.00;yes;5.35;11.00;5.65;184.66;289.84;;;;
64936.00;yes;3.44;14.66;11.22;604.03;1882.33;;;;
