ID;Population density
355;5300.201722
356;4403.539504
357;3602.054929
358;5728.963019
359;7275.457863
360;5183.276106
361;7055.840245
362;5192.684438
363;6507.80349
364;5103.513499
365;3225.016303
366;9565.748655
367;3705.940703
368;2133.968457
369;4056.056976
370;5265.498857
371;2585.114175
372;9922.47439
373;4807.888359
374;3949.406844
375;6622.758275
376;4665.251601
377;4959.322438
378;9435.308968
379;8629.01438
380;2724.218148
381;3451.104366
382;5038.236243
383;2635.015787
384;4693.534306
385;0
386;4961.250595
387;3915.624057
388;7338.182432
389;3696.752301
390;8989.997932
391;4214.88173
392;4376.276955
393;3949.552066
394;4701.706452
395;6575.868048
396;5855.733723
397;5031.479347
398;8094.639553
399;6814.654286
400;6446.123036
401;6179.256269
402;2629.605678
403;3782.023282
404;5678.642168
405;2966.045546
406;6834.162803
407;5077.616399
408;10741.71502
409;6016.30739
410;5037.424802
411;9896.979839
412;11617.28742
413;8986.362671
414;7410.844958
415;4619.766777
416;10362.91476
417;5167.784273
418;5002.793329
419;6605.781819
420;3527.127042
421;5418.663574
422;4157.243668
423;3702.630973
424;5113.195699
425;5551.28414
426;5210.677173
427;5523.552719
428;3683.626754
429;5490.961979
430;4237.605987
431;0
432;4975.924008
433;5268.581825
434;6426.205463
435;5753.747374
436;6153.267819
437;1370.362721
438;3970.869284
439;9671.991737
440;7755.275174
441;3602.388644
442;4782.068398
443;8078.263714
444;4184.18883
445;2270.027002
446;10197.13893
447;3789.711001
448;6946.291681
449;5396.508506
450;6530.270945
451;3554.062167
452;9326.29901
453;4713.924296
454;6386.396104
455;4026.332513
456;4858.689688
457;5024.202076
458;6787.888274
459;3852.240869
460;4745.560747
461;5700.251791
462;3955.051114
463;5358.610243
464;6383.256279
465;5368.565284
466;6305.135498
467;9334.906105
468;5844.658048
469;3670.405127
470;7306.809553
471;4660.176262
472;10087.66426
473;3361.502065
474;6621.555793
475;6304.815585
476;3627.739101
477;4972.654092
478;5653.635754
479;7691.250455
480;10062.02898
481;3658.041959
482;8845.460623
483;5623.043224
484;4658.097445
485;5098.9526
486;6218.962827
487;5199.049458
488;5495.046248
489;11265.44558
490;4099.766017
491;6313.456851
492;10977.41421
493;5473.005281
494;4280.163868
495;4729.946267
496;4969.948517
497;3449.197379
498;5349.445051
499;10692.39952
500;7135.594751
501;4909.024997
502;7781.226436
503;4374.242746
504;3976.329812
505;5617.888355
